Unique_ID,Site,Plot,Replicate,Var1,Var2,Var3,Var4
1_1_1,1,1,1,579.27,0.7144,15.18,NA
1_2_1,1,2,1,957.27,0.3909,29.60,NA
1_3_1,1,3,1,989.42,0.2378,11.00,NA
1_4_1,1,4,1,172.53,0.8975,25.31,NA
1_3_1,1,3,1,NA,NA,NA,NA
1_3_2,1,3,2,NA,NA,NA,NA
1_3_3,1,3,3,NA,NA,NA,NA
1_NA_1,1,NA,1,NA,NA,NA,160.67
1_NA_2,1,NA,2,NA,NA,NA,121.53
1_NA_3,1,NA,3,NA,NA,NA,111.39
1_NA_4,1,NA,4,NA,NA,NA,133.04
2_1_1,2,1,1,850.00,NA,NA,NA
2_2_1,2,2,1,182.78,NA,NA,NA
2_3_1,2,3,1,661.36,NA,NA,NA
3_1_1,3,1,1,474.64,NA,NA,NA
3_2_1,3,2,1,332.89,NA,NA,NA
3_3_1,3,3,1,107.97,NA,NA,NA
4_1_1,4,1,1,757.81,NA,NA,NA
4_2_1,4,2,1,75.96,NA,NA,NA
4_3_1,4,3,1,410.64,NA,NA,NA
4_NA_1,4,NA,1,NA,NA,NA,82.46
4_NA_2,4,NA,2,NA,NA,NA,150.44
4_NA_3,4,NA,3,NA,NA,NA,91.79
4_NA_4,4,NA,4,NA,NA,NA,68.80
5_1_1,5,1,1,607.94,0.6904,13.33,NA
5_2_1,5,2,1,57.66,0.7935,45.13,NA
5_3_1,5,3,1,279.16,0.4535,51.06,NA
5_4_1,5,4,1,265.97,0.7801,58.86,NA
5_NA_1,5,NA,1,NA,NA,NA,163.56
5_NA_2,5,NA,2,NA,NA,NA,54.95
5_NA_3,5,NA,3,NA,NA,NA,12.33
5_NA_4,5,NA,4,NA,NA,NA,151.23
5_NA_1,5,NA,1,NA,NA,NA,177.46
5_NA_2,5,NA,2,NA,NA,NA,NA
5_NA_3,5,NA,3,NA,NA,NA,54.42
5_NA_4,5,NA,4,NA,NA,NA,103.87
6_1_1,6,1,1,434.13,0.2255,76.28,NA
6_2_2,6,2,2,425.23,0.0020,25.43,NA
6_3_3,6,3,3,324.35,0.2313,74.64,NA
6_4_4,6,4,4,563.05,0.9603,79.04,NA
6_NA_1,6,NA,1,NA,NA,NA,29.35
6_NA_1,6,NA,1,NA,NA,NA,93.91
6_NA_1,6,NA,1,NA,NA,NA,47.25
6_NA_1,6,NA,1,NA,NA,NA,102.63
7_1_1,7,1,1,106.48,0.8417,73.27,NA
7_1_2,7,1,2,74.01,0.6425,6.67,NA
7_NA_1,7,NA,1,NA,NA,NA,98.23
7_NA_2,7,NA,2,NA,NA,NA,198.87
7_NA_3,7,NA,3,NA,NA,NA,159.67
7_NA_4,7,NA,4,NA,NA,NA,185.08
8_1_1,8,1,1,919.81,0.0675,24.57,NA
8_2_1,8,2,1,342.18,0.1222,31.53,NA
8_3_1,8,3,1,630.83,0.0836,64.87,NA
8_NA_1,8,NA,1,NA,NA,NA,22.08
8_NA_2,8,NA,2,NA,NA,NA,NA
8_NA_3,8,NA,3,NA,NA,NA,61.26
8_NA_4,8,NA,4,NA,NA,NA,75.12
8_NA_1,8,NA,1,NA,NA,NA,79.35
8_NA_2,8,NA,2,NA,NA,NA,13.22
8_NA_3,8,NA,3,NA,NA,NA,62.70
8_NA_4,8,NA,4,NA,NA,NA,146.17
8_NA_1,8,NA,1,NA,NA,NA,3.26
8_NA_2,8,NA,2,NA,NA,NA,109.58
8_NA_3,8,NA,3,NA,NA,NA,153.64
8_NA_4,8,NA,4,NA,NA,NA,168.22
8_NA_1,8,NA,1,NA,NA,NA,35.31
8_NA_2,8,NA,2,NA,NA,NA,129.25
8_NA_3,8,NA,3,NA,NA,NA,77.56
8_NA_4,8,NA,4,NA,NA,NA,120.55
9_1_1,9,1,1,162.51,0.2080,4.14,NA
9_1_1,9,1,1,661.06,0.8370,4.12,NA
9_NA_1,9,NA,1,NA,NA,NA,131.42
9_NA_2,9,NA,2,NA,NA,NA,109.81
9_NA_3,9,NA,3,NA,NA,NA,NA
9_NA_4,9,NA,4,NA,NA,NA,20.03
9_NA_1,9,NA,1,NA,NA,NA,147.89
9_NA_2,9,NA,2,NA,NA,NA,198.00
9_NA_3,9,NA,3,NA,NA,NA,185.56
9_NA_4,9,NA,4,NA,NA,NA,62.77
10_1_1,10,1,1,660.88,0.5502,3.94,NA
10_2_1,10,2,1,624.68,0.5068,14.57,NA
10_NA_1,10,NA,1,NA,NA,NA,148.80
10_NA_2,10,NA,2,NA,NA,NA,NA
10_NA_3,10,NA,3,NA,NA,NA,127.19
10_NA_4,10,NA,4,NA,NA,NA,135.85
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
